Insult,Date,Comment
1,20120619103111Z,"""Ight ima get in on you mr. Army man or w.e. the fuck you are. I have family fighting on battle field right now atleast 20 members are all juggalos. Just like me you little ick sucking divk whipped bitch. If you have the time to sit here and talk shit about family then you obviously aren't doing your job fighting for our country your busy trying to start another world war with the juggalo family so shut the fuck up and grow a pair you pussy."""
0,20120529233441Z,"""You are so correct...the red sox are the worst team."""
0,,"""Headlines going to be in a few months, Mark WRIGHT reject back home"""
0,,"""i didn't watch game so this morning watched sky see what fuss was about, i have to say at times football fans have to put there loyalty to respective clubs aside, what ballotelli did was a disgrace he  won;t admit it but that was deliberate and has no place  in football i will be amazed if he isn't banned"""
1,20120611091050Z,"""Are you retarded? You think Iraq & Afghan were avenging deaths? Lol.. get yourself checked buddy.. even bush would laugh at you...\n\nThere is a reason why we are proud of India.. cuz we are not like US or Israel who will or can go to war at the drop of a hat.. on the long run even that is proving costly to them..\xa0\n\nSo wake up.. We are talking about Music here not War.. you dumb moron"""
0,20120612092607Z,"""No matter how great your body looks, there's\xa0something pathetic, desperate and trashy\xa0about a woman that old acting like that!!"""
1,20120529090040Z,"""piiisii ... apparently knows nothing about cold facts\n\nRepublican Trolls make us all sick with their non factual crap\n\nYou can cry until 2016 ... your lies mean nothing to intelligent people"""
0,20120610200600Z,"""The bad part of the story is the dumb redneck Republicans, like yourself.\n\nNot sure if these folks are sociopaths like you, though, so you're probably a downgrade from them..."""
1,20120320200133Z,"""You as stupid as you were yesterday."""
0,,"""""I may never see the light of day again"".....He should NEVER see the light of day again! Twisted beyond belief. You couldn\\'t do what he did to a dog, let alone another human being.  """
1,20120619024452Z,"""There are a lot of morons posting on this site but you are in a class all by yourself."""
1,20120618204027Z,"""You are a Moron."""
0,20120611233921Z,"""How the fuck do you have Orange Beef but not Orange chicken?"""
1,20120612023153Z,"""suck my dick yeaah babby pussy"""
1,20120515161425Z,"""Autumn..... You are, and Idiot. \n\nRed Flag #102 - Girls with No sense of Humor."""
0,20120529213135Z,"""Eli MAnning, Brett Favre, John Elway"""
0,,"""if she won't sleep with you, you could probably just force yourself on her and any reasonable judge would take that tattoo as a permission to date rape stamp"""
0,20120609174056Z,"""Holder and Obama will be hit back from all directions and 1000 times as hard. Dozens inside the DOJ and the WH who have dignity and patriotism will turn on them both like rabid dogs. This administration is goind down and right into federal prison. Nothing can stop it now. Nothing at all. The people are pissed off and out for heads.\n\nHolder = Peice of Shit\n\nObama = Fucked Up Sociopath"""
0,20120611184459Z,"""SO IS A SKUNK HALF BLACK AND HALF WHITE AND THEY BOTH STINK. WHY DO B L A C K PEOPLE STINK, SO BLIND PEOPLE CAN H A T E\nTHEM TOO. LOL"""
0,20120618194105Z,"""I wonder if that'd stand up in court. ""He might have killed someone, but fuck me he can play cricket!"" He was a prick."""
0,20120530131336Z,"""They're not. The PG proposal is a list of people who have committed crimes with a gun. Not a way to register guns. (is no one else\xa0disturbed\xa0by the idea of the government maintaining lists of people they don't like. Cue '""you know who else had lists of people they don't like"" jokes in 3..2...)"""
0,,"""@David @Cyberduckie You know, if you stick a screw driver in your mouth and bang on your fillings, you might be able to pick up an Easy Listening channel."""
1,20120619232324Z,"""That's because you're a nobody."""
0,,"""The Korem foundation will never see another dollar from me."""
0,20120620051425Z,"""I just did it, but for some reason it's not registering, maybe needs some time."""
0,20120609235207Z,"""I could be as effective (ineffective) as Huff."""
1,20120610074041Z,"""Yo this my nigga right here! my n my boi lil b fuck bitches on the regular, we fucking everyone bitches. tell yo boys that yo bitches aint safe when Mel Gibson n Lil B rollin out on a bitch hunt"""
0,20120529135802Z,"""oh hey, I have yousaid.it if you like."""
0,,"""\\xc2\\xa0""It means the world isn\\'t changing, it means the world has already \\nchanged,"" Steven Goldstein, chairman of the gay rights group Garden \\nState Equality.\\xc2\\xa0 BUT, right is right and wrong is still wrong!"""
0,20120619141750Z,"""OMG! Are you a VS Girl also????!!!\n\nDid you hit up the semi annual sale? I went fucking crazy!!"""
1,20120620062056Z,"""You are incredibly stupid...."""
0,20120611235930Z,"""@SlipResistantShoes\xa0In a few years, they'll make a damn movie about it?\n\xa0\nUncle Daddy Rides Again?"""
0,20120619000810Z,"""I like you aggie."""
0,20120527185724Z,"""obamawon due to the media not doing their jobs ,we still know nothing about obama and its almost 4 years later why ?"""
0,20120619015707Z,"""God bless you, and may you live a long and fruitful life and spread your wisdom."""
0,20120620171007Z,"""HA. I'm glad you are Pena's girl, you know he really wants to play for the Red Sox. He's from Boston and went to Northeastern but got cut by the sox and he's terrible. haha. You have zero valid points."""
0,,"""I am a moderate. I am fiscally conservative but am moderate on the social issues. The Republican Party is no longer the party of Goldwater, Teddy Roosevelt\\xc2\\xa0 nor even Reagan. The GOP is the party of Jerry Falwell, Tony Perkins and people like Michelle Bachmann. \\nBecause I am gay and can not find a place in the GOP, I voted for Obama in '08. \\nHowever, this year I\\xc2\\xa0am considering voting for Romney this year. \\nRepublicans better hope Romney gets the nomination because Santorum would be handing the election to Obama. Santorum is\\xc2\\xa0SCARY conservative. He wants the government to be all up in peoples' business and I wouldn't be surprised if a President\\xc2\\xa0Santorum created a Morality Police.\\nI believe the majority of Americans are moderate and what this country needs is a moderate. I am so tired of us swinging from extreme left to extreme right and back again."""
1,20120609203104Z,"""Why did you do that?"" ""Because you smell like dog poo. You're so stupid, just like dog poo. You're made outta poo!"""
0,20120620132202Z,"""The Democrats would sell out our young job seekers for a handful of illegal votes and a 50 cent tomato."""
0,20120619180350Z,"""pass on grass and pass on rainbows and wings"""
0,20120620180456Z,"""You wouldn't know a failed policy if it sent you and all your neighbors to the poorhouse."""
0,20120502155618Z,"""""But Jack from Raleigh wasn't done. He came back with this bit of furious grammatical genius:""\n""Holy hell, Jack. Calm down.""\n\nGOD D@MN HILARIOUS!\n\nWho writes your material GraziD?  \n\nMM never even acknowledged we were here (well accept when Uber ticked him off)  GraziD not only interacts with us, he calls you dumb when you're being dumb... right beeaner?"""
0,20120528051839Z,"""Maybe Republicans can't use filibusters in Union votes to grind all decisions to a halt.\n\n60% is probably enough to win elections there."""
0,,"""@Dan_tm@noBjustRyan a funny thing happened on the way to that forum, but all the optimists were too happy to notice. """
1,20120618205159Z,"""yeah I'm pathetic but your the idiot going around trolling other teams pages. Why don't you get f#$@ing life you little sh1thead."""
0,,"""Ron Paul could start his own third party tomorrow and suck a large percentage of Democrats, Republicans, Libertarians and Independents with him.  You think Ross Perot was bad?  Ron Paul might even challenge to win running as a 3rd Party candidate!"""
0,20120612114712Z,"""We can tell by their mugshots who is Pinky and who is Brain...lol"""
1,,"""ugly bitch go prostitute yourself so dat you can buy a big enough pant bottom to cover your gigantic ass """
0,,"""If you want to lick Jewish ass, go do it in Jerusalem. but stop using this country you Israel-first traitor."""
0,20120612050335Z,"""Agreed... you come on here to proclaim a useless point to who? the CNN community? Parasites that have nothing else better to do then trying to make a valid point to....who????"""
0,20120618202653Z,"""@SDL Unless that happened by chance..."""
0,20120529210206Z,"""Are you edge-triggered or level-triggered?"""
0,20120528164632Z,"""Nice smelling...er, spelling sphincter"""
0,20120612142256Z,"""How do you know?\n\nBesides who says everyone has to have Moral Standards based on my Gardener?"""
0,,"""Too bad that wouldn't do anything about the gay American citizens found in all 49 other states."""
0,,"""Mr Cagape, the things you\\'ve listed are true but only the tip of an iceberg.\\nI\\'ve been in Hong Kong for two years now, and the longer I stay here, the more I hate this place. \\xc2\\xa0It\\'s horribly crowded, which leads to plenty of rude people and deathly polluted air. \\xc2\\xa0It\\'s ridiculously expensive, and even so, the nicer (and expensive) restaurants are always booked out and the services are shit. \\xc2\\xa0It\\'s superficial; if you are or want to be a nice person, you will always get taken advantage of, unless you dress in such a way that says ""I\\'m rich"" on your forehead. \\xc2\\xa0Even if you are rich, like some of the Chinese mainlanders that rush into the city for a weekend shopping spree, you will still get treated like shit. \\xc2\\xa0I don\\'t get why people love Hong Kong so much. \\xc2\\xa0It may look civil on the outside, but on the inside, it\\'s rotten to the core. \\xc2\\xa0It\\'s just capitalism, you may say, but I don\\'t see it in the US, and I don\\'t even see it in China mainland (which contrary to what they argue, is very much capitalist). \\xc2\\xa0Living here doesn\\'t make me rich, it makes me pull OT everyday, put up with selfish rude people everywhere, and pay ridiculously high rent for a tiny apartment every month. \\xc2\\xa0If I live here for another two years, I will become so bitter that I might just fit in."""
0,20120612051458Z,"""Yeah I know, I am being a troll on purpose. I still and will always be known as JSKop. I do not have to change my account every few days because I'm awesome like that. I can troll one day and the next be taken seriously by everyone."""
0,20120515172041Z,"""""""You all, including your son, deserve a slow, painful, and miserable death.""""\n\nThat's how Zimmerman stands his ground."""
0,20120619220205Z,"""If you wrap your computer in foil you can stop them from taking your posts down."""
0,,"""she is ugly so she would complain """
0,20120527204604Z,"""Operation DICS:\n\n'Distract Investors from Crashing Stock'"""
0,20120529031845Z,"""Actually the Packer still have the rights to Jolly."""
0,20120612120920Z,"""From your computer through their website."""
0,20120611212958Z,"""This is what I wore to the most recent wedding I attended, which was a daytime, black tie optional affair:\xa0http://i.imgur.com/pmQKn.jpg. I think I looked glamorous as fuck."""
0,,"""Pig noesed / no talent jack.. This guy should get the worst actor award every year."""
0,20120619122806Z,"""And the last day is upon us. Will I be the lucky one? Doubt it, but it's still a sexy piece of hardware!"""
0,20120612011146Z,"""Uh,if the autopsy plus the exam of the girl prove that he WAS raping the daughter, then he was caught red-handed, which doesn't fall under the category ""innocent until proven guilty."" If you wouldn't do the same thing in that father's shoes, then you don't have children."""
0,20120528200032Z,"""come on Sweeney show us again man"""
0,,"""Its going to be difficult to lose weight in 7 days. Honestly, most of the weight that you'll lose is going to be water and maybe a little bit of muscle and fat if you are very careful with your calories. You can also be certain that you'll gain it back again once you get of the diet. I'd recommend that to take it slow and easy so you can see the long-term benefits. \\n\\n \\n\\nI've personally lost 180lbs since Dec 2009. My blood pressure was 160/110, now its 120/80. My cholesterol was 256 mg/dL, now its 176mg/dL. I'm no longer Pre-Diabetic and I'm in the best shape of my life. It wasn't easy but I can say that everyone can do it if they have the right program.\\n\\n \\n\\nIf you're interested in my story please head over to Zdiets.net\\n\\n \\n\\nCheers.\\n\\n \\n\\nRyan E. Parker"""
1,20120610122728Z,"""You're a pussy ass punk."""
0,20120530020342Z,"""Apparently Hickson has said he will take the min to play with LeBron again.. Good bench player for the Heat."""
0,20120529143641Z,"""Simply terrible.\xa0 Cop should be fired."""
0,20120611225506Z,"""very sorry about robin, however I can guarantee that if this was a story about just your average person it wouldn't be getting this much attention. sorry if its offensive but tough shit its the truth and you all know it."""
1,20120529025307Z,"""haha...atleast get your insults straight you idiot!!...."""
0,20120530142652Z,"""O' Neil ---\n\nHold your ground!!  Don't admit to\nsomething you did not do to satisfy an outward AGENDA by those who\nwant to conform to international racing for their own profit!  Yes,\nyou have violations, as many other trainers do, BUT, you are the\ncenter of attention right now --- NO BETTER PERSON TO ATTACK!!!  You\nlive in a faulty generation caught up in personal transference of\nwrongdoing by the general public focused on lack of commitment to\nthemselves, family, and country!\n\nDoug, just look around you and see what\nthe present day ideology has done to our country, NOW, they want YOU\nto become part of that same agenda in the sports world --- DON'T DO\nIT!!  The people around you know you for who you really are ---\nforget about the deadbeats, and the press, who themselves should be\nashamed of their lack of responsibility to the people of this\ncountry!  Focus on winning the Triple Crown --- YOUR WAY!!  You've\ncome this far on your own, stay that way!!  Good Luck --- the \u201cTRUE\u201d\nfans will support you for who you are, not what others want to make\nof you."""
0,20120530142522Z,"""Hey Cameren, I just met you, and this is crazy, but here's my number, so call me maybe"""
0,20120530004342Z,"""I stand corrected that was the memphis series but they beat the heat in 6, then this yr okc swept mavs due to player improvement"""
0,20120619134407Z,"""The guy is an idiot if he sticks his dick around without protection."""
0,20120620140508Z,"""Oh please, spare us your fantasies."""
0,20120609181040Z,"""Well, no. Generally if I consider someone a tramp I have no desire to look at their sex pictures.\n\nWhat's your excuse?"""
1,20120609183559Z,"""I still dont see why half of you niggas click on every video that he post on wshh just to hate. If he so wack why the fuck you even click the video. #BASED"""
1,20120610070026Z,"""i bet you are a white devil or cracker"""
0,20120530020330Z,"""A Combination, he is a drunk we all welcome but has a crazy streak"""
0,,"""Yep, and that means that you would have to find another cash cow to suck the teats of...Nothing but a leach so give it up..........."""
0,20120530053242Z,"""Sounds like a medical condition."""
1,20120611232142Z,"""You are human garbage."""
0,20120529024542Z,"""I dont know about a high chance, but definitely a chance."""
0,20120610015101Z,"""Your little girl will probably look just like her :) lol"""
0,20120612015926Z,"""@hockeybelle\xa0he is so wrecked physically right now. \xa0THere's definitely something wrong with him. \xa0You can't really use the ""lazy"" excuse anymore because he was pretty great for most of the playoffs"""
1,20120620000945Z,"""We'll leave the fanaticism to morons like you, criminal."""
1,,"""Can we have your address so that when you die we can all come and pay our respects, and then urinate into your urn before they flush it?"""
0,20120612004256Z,"""If only it could be your rectum, right?"""
0,,"""LOL....and he told them to go suck your man child messiah's big toe.....\\n\\n\\nLOL...."""
0,20120529232226Z,"""Finally? Where have you been the past few years? Phils played hurt in 2010 and 2011."""
0,20120619225235Z,"""That takes more strength than the father in the story would ever know. Much respect to you."""
0,,"""....he should be punished in some way obiously, just because he's in the SAS shouldn't make him untouchable!! unquote\\n\\n \\n\\n \\n\\nHe has been punished plus he will get done by the army...in the Forces you get done twice...once by the civil courts then by military justice (if I may use those terms together as you are guilty until proven even more guilty!)"""
0,20120610095854Z,"""dcjohn: have you heard some of the white folks down in good ""ole"" louisiana speak? if you turn your backs you can not tell one from the other. it has to do with location and where you are born mostly. come to my state also, some of sound like our friends from the ""hills"". there is no such thing about being ignorant or uneducated just because you have an unusual accent.blacks speak in all languages depending on where they are from; from the Queen's  english to french, or gullah, or islander or spanish. blacks are very adaptible where as other groups are a ""closed knit bunch""."""
1,20120515152922Z,"""More people on here than you, you cunt."""
0,20120529202818Z,"""Tabby\nJHay\nCutch\nEl Toro\nPgh Kid\nGFJ\nHit Collector\nCB\nGround Chuck"""
1,20120609194312Z,"""I think it clearly displays your lack of rational thought if you truly believe that."""
0,20120529160528Z,"""No we have no concept of sitting on your butt and waiting for a hand out"""
1,20120610033625Z,"""FACT.. YOU ARE A MORON"""
0,20120528134807Z,"""Just like the media has ventured to compare MAnu to Kobe, but where were you then?"""
1,20120527233520Z,"""U dad already ashamed of u cuz he dnt know if u really his son cuz your mom was sucking and fuc.king the crew back in da days..lmao...now u grew up to hate black men wit money cuz u know dsts what your mom is looking for..lol..tell her I'll pass up on dat a.ss cuz it got to many miles on it howeva she can give me some slow head...lol..lol..lol..."""
0,20120619155757Z,"""They have historically been completed unable to get the REAL THREAT off the road so they're going to pick some very low hanging fruit here. Inept lawmakers. Inept politicians. And sheeple for police who are going to LOVE ""enforcing"" this new law. They can't enforce the laws we have now that matter, so I guess they need some new ones."""
0,20120610005919Z,"""My little brother and his friend are running around, making fart noises, and quoting The Lorax. I have no fucking clue what is going on."""
0,20120529194854Z,"""be careful picking it up. For that price it could easily be an Admiral Ackbar."""
0,20120619145414Z,"""I guess their coverage was IDIOTIC to YOU, especially when they were all but anointing your boy as the champion after day one of the Open. \xa0 Tht is what I dearly love about the SYCOPHANTS, they have to have it both ways...ALL THE TIME.\xa0 Crawl back under your rock CRAPI."""
0,20120619054952Z,"""The guys cutting down our tree said they would cut another tree down for a carton of beer. Haha typical tradesmen."""
0,20120529020530Z,"""are you funny tonight?!!!"""
0,20120611221913Z,"""Its Black Goo fucked into Space Jockeys that causes xenomorphs. \xa0Thats why they have similar Giger bodies. \xa0 doesnt need to be two crazy coincidences to set up prometheus xenomorphs and alien xenomorphs."""
1,20120610001309Z,"""cortez u callin niggas soft but u look soft as hell too my nigga"""
0,20120527222110Z,"""Man I see why you celtics claim to be classy."""
1,20120609172301Z,"""How does trolling for Obama pay? Pretty well?  What? No pay? You're an idiot, don't breed."""
0,20120610005734Z,"""And you, Dee, are a typical leftist idio t."""
0,20120620062609Z,"""Jolie is my qurl. Excited as hell to see this movie. Too bad its 2 years away.. fuck"""
1,20120620140603Z,"""You are a child."""
0,20120611190542Z,"""Libero ha per vicedirettore un signore che ha pubblicato l'audio di una telefonata PRIVATA con un parlamentare, Crosetto. Libero fa campagne contro le intercettazioni e poi pubblica telefonate PRIVATE (""quel testa di C \xe8 andato a Milano"" diceva Crosetto del suo boss). Il DIRETTORE di Libero si \xe8 fatto un attentato da solo, o forse \xe8 stata la guardia del corpo recidiva. Pansa, Il megagiornalista, su Libero ha scritto (e mai smentito) che ENRICO BERLINGUER ha telefonato a Curzi per raccomandare la figlia, nel 1991. Da MORTO! Questo \xe8 libero. Che si prendano Freda."""
1,20120529132610Z,"""Hang on, Eduardo, what's your home address? i'll come forcefully kick \nyour door down, take over your house, if you try and kick me out, i'll \nseriously physically harm you, because as you pointed out, right to self\n defence!! I hope you realise how retarded your argument is, truely!"""
1,20120612022928Z,"""<blockquote>                        Little girl, you, YOU of all people make that statement. How dare you after all your feminist/misogynist bullshit.\n\n\nOh, and toots, anytime you want to try anf follow me up a 21,000 foot\n mountain at 64 degrees North Latitude and not whine, bitch, complain or\n get cramps, you just go ahead and sign up. \n\n\nYou are a nypocrtical piece of shit. And anytime sweetheart. Anyplace\n on the planet. You think you have a bteer pain threshold or the ability\n to follow along in my footsteps, you just raise your delicate little \nhand. The first whine oir moan out of youy when in the field, and I will\n have a dozen cameras on you and make sure the world knows what a whimpy\n little hypocrite you are.\n\n\nPussy.</blockquote>\n\nFuck you.\n\nDon't call me ""toots"".\n\nI'm disabled, and CAN'T follow you up a mountain of ANY size.\n\nI also deal with CHRONIC FUCKING PAIN, DAY IN, DAY OUT.\n\nMeow meow, fuckstain."""
0,,"""I don't watch the brain numbing Eastenders, but have always had a thing for Nicola Stapleton...............I would! """
0,,"""\\xc2\\xa0HA HA, Ford will blow it away."""
0,,"""@tlgiguere I remember first seeing mike in board james  and finding out he plaed the joker in the batman reviews  and bugs bunny and all that awesome stuff,  I was actually saying, I'd like to see more from him.  While I do miss seeing James more then we are,  he's making the movie so its understandable. Just think how boring it would be around here WITHOUT mike right now,  I'm glad he's stepped up to help out more."""
1,20120515224228Z,"""WHAT PART OF GO BACK TOO SCHOOL AND LEARN HOW TO STRING A PROPER LEGABLE SENTANCE TOGETHER DID YOU NOT UNDERSTAND DO YOU NEED A FUCKING DIAGRAM\n\nIt is obviouse your a women as you havent learnt anything go baack to the bottom were you came from until you make sense \n\nJUST A WASTE OF SERVER SPACE SAME AS ALL WOMEN. I DOUBT EVEN HUGE BLACK COCK IN YOUR FILTHY HOLE WOULD SHUT YOU UP MORON."""
0,20120612060140Z,"""Ok I am sorry but why are these idiots still around. I am white and can't stand the racsit pigs. If you can't stand being around other races and cultres then get lost. If you beat people because of their color they should be shot. Now they want a stretch of road. Yeah just what someone of color needs. To go down that road and be beaten or shot because they are of a different color. I wish I can do the stuff they do and get away with it.."""
1,20120619141352Z,"""The comments on twitter shows that it was to embarrass Tyler.  If there was not intent of that then why would you do such a stupid idiot move as this?  We are all legally adults by the time we go to college (unless you are  a major genious), so it's time to start thinking like one."""
1,20120610105706Z,"""WHAT THE FUCK SUN!!! WHY ARE YOU NOT POSTING MY COMMENTS!!! ILL TELL YOU WHAT I WONT FUCKING BOTHER WRITING MY OPINIONS THEN!!! ILL JUST FUCKING SAY NICE THINGS ABOUT ALL THESE SYSTEM ABUSING SCUM BAGS SHALL I.............DECENT"""
0,20120618192916Z,"""Mine too. So I just assume all the time over what it was. \n\nMost of the time, they are correct assumptions."""
0,20120528194144Z,"""Joyce should be in RF.... Zobrist should be at 2B.... Rhymes shouldn't be playing."""
0,,"""I actually think this is 1 of the most 'sophisticated' outfits i have seen her in lol...  I used to like her years ago but she has went downhill in my opinion and will go as low as possible to get that frozen face in the papers... I would like to know who these 'katie price' fans are that she makes her millions from because certainly no1 i know admits to liking her..."""
1,20120503042134Z,"""Flagged, you're a real dick."""
1,20120529204424Z,"""I Made a Joke.....A Joke you did not get.... A pun on color if you will.\nYou need to Relax.  Look at my Pic.  I'm a white guy calling white coaches dumb....If you cant get that, then you must be 10 y/o."""
0,20120610003805Z,"""Here he is explaining how they tried to have him killed for propaganda purposes.\n\nhttps://www.youtube.com/watch?v=NXeXl1SDU8c&feature=plcp"""
0,20120527195326Z,"""Brown dog:\n\nRemember that you thought that............. while the crowds gather on the streets.......... Greece, Spain, France, Quebec Canada  etc etc etc ....... It is not only a dynamic that will occur in the US but is already occurring, where people want their rights and the real culprits of the financial disasters held accountable!"""
0,20120612002630Z,"""Dude, calm the fuck down and stop yelling at anyone who disagrees with you."""
0,,"""sounds like\\xc2\\xa0Venezuela...ah, the road to being a banana republic with the emperor with no clothes that his minions the media insanely keeps insisting he isn\\'t naked...\\nand what is up is down and what is right is wrong.\\n\\n""The prince of this world"" (John 12:13) \\xc2\\xa0is a master of false systems. \\xc2\\xa0He crafts entire schools of thought that can suck us in and destroy us...He\\'s behind false religions, false\\xc2\\xa0philosophies, false doctrine, false morality, and every\\xc2\\xa0system\\xc2\\xa0of that that cannot lead anyone to God. \\xc2\\xa0He has infiltrated governments, economies,\\xc2\\xa0educational\\xc2\\xa0institutions, and anything that has influence in this world. \\xc2\\xa0The conclusion John came to is sobering. \\xc2\\xa0""The whole world lies in the power of the evil one""(John 5:19).\\n\\n\\'The Invisible War\\', Chip Ingram"""
